[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
